Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2002,$,investors,$,1/08/1997,4126600000,4.1266,b,4126.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2002,$,investors,$,1/08/1997,423200000,423.2,m,423.2
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2002,$,investors,$,1/09/1997,4074100000,4.0741,b,4074.1
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2002,$,investors,$,1/09/1997,406800000,406.8,m,406.8
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/09/2002,$,investors,$,1/10/1997,4003400000,4.0034,b,4003.4
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/09/2002,$,investors,$,1/10/1997,337100000,337.1,m,337.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2002,$,investors,$,1/11/1997,4197500000,4.1975,b,4197.5
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2002,$,investors,$,1/11/1997,480700000,480.7,m,480.7
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2002,$,investors,$,1/12/1997,4246000000,4.246,b,4246
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/11/2002,$,investors,$,1/12/1997,465500000,465.5,m,465.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/12/2002,$,investors,$,1/01/1998,4110200000,4.1102,b,4110.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/12/2002,$,investors,$,1/01/1998,458700000,458.7,m,458.7
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/01/2003,$,investors,$,1/02/1998,3599200000,3.5992,b,3599.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/01/2003,$,investors,$,1/02/1998,425000000,425,m,425
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/02/2003,$,investors,$,1/03/1998,4135600000,4.1356,b,4135.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/02/2003,$,investors,$,1/03/1998,455900000,455.9,m,455.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/03/2003,$,investors,$,1/04/1998,4742400000,4.7424,b,4742.4
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/03/2003,$,investors,$,1/04/1998,622900000,622.9,m,622.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/04/2003,$,investors,$,1/05/1998,4646200000,4.6462,b,4646.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/04/2003,$,investors,$,1/05/1998,505400000,505.4,m,505.4
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/05/2003,$,investors,$,1/06/1998,5327300000,5.3273,b,5327.3
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/05/2003,$,investors,$,1/06/1998,681600000,681.6,m,681.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/06/2003,$,investors,$,1/07/1998,5508900000,5.5089,b,5508.9
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/06/2003,$,investors,$,1/07/1998,752200000,752.2,m,752.2
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2003,$,investors,$,1/08/1998,5881700000,5.8817,b,5881.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2003,$,investors,$,1/08/1998,713100000,713.1,m,713.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2003,$,investors,$,1/09/1998,6183500000,6.1835,b,6183.5
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2003,$,investors,$,1/09/1998,646900000,646.9,m,646.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/09/2003,$,investors,$,1/10/1998,6286700000,6.2867,b,6286.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/09/2003,$,investors,$,1/10/1998,763300000,763.3,m,763.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2003,$,investors,$,1/11/1998,6825200000,6.8252,b,6825.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2003,$,investors,$,1/11/1998,844200000,844.2,m,844.2
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2003,$,investors,$,1/12/1998,6038700000,6.0387,b,6038.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/11/2003,$,investors,$,1/12/1998,757700000,757.7,m,757.7
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/12/2003,$,investors,$,1/01/1999,6015700000,6.0157,b,6015.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/12/2003,$,investors,$,1/01/1999,769000000,769,m,769
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/01/2004,$,investors,$,1/02/1999,4176800000,4.1768,b,4176.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/01/2004,$,investors,$,1/02/1999,526000000,526,m,526
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/02/2004,$,investors,$,1/03/1999,4720000000,4.72,b,4720
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/02/2004,$,investors,$,1/03/1999,590600000,590.6,m,590.6
