"","x"
"1",53666577.9708466
"2",56276581.8174336
"3",53309532.925586
"4",52245346.689064
"5",53590463.8540142
"6",50818249.7993052
"7",55326996.2466808
"8",53304156.3156956
"9",52995957.5499116
"10",54912438.4644118
"11",52637090.0653359
"12",51296324.8168189
"13",55706416.0467506
"14",54876964.9206565
"15",53025596.768062
"16",54584478.4691854
"17",56738495.5440699
"18",52952007.6019732
"19",55087400.0765216
"20",56434417.3411862
"21",56748769.8745069
"22",53305738.8336279
"23",54875020.8119925
"24",54296920.3493532
"25",52318470.5416855
"26",55370403.1022157
"27",56454710.528412
"28",55021518.7031732
"29",52646944.5306009
"30",56467120.3075972
"31",57980107.4990739
"32",54628606.0348214
"33",55204360.2400959
"34",53591399.1366621
"35",52516713.3597278
"36",55340343.7314752
"37",51731939.0790247
"38",55977081.9500174
"39",53156910.9760984
"40",51800491.3306057
"41",51500632.0274532
"42",53196557.7218422
"43",56528935.0737931
"44",56796108.9478283
"45",57877709.6303254
"46",54154527.9746244
"47",52551859.5121485
"48",52137754.3053972
"49",54319701.6168052
"50",53860419.8013459
"51",52269167.1140395
"52",53777876.2948242
"53",53631436.9282818
"54",52886159.9247452
"55",53974945.2895521
"56",56470979.9778978
"57",55611643.3237908
"58",55094474.2310172
"59",56419258.5444853
"60",53920278.4972242
"61",50253745.4858974
"62",55970251.083241
"63",51518977.7183413
"64",53347758.4379126
"65",55081278.7749839
"66",53113280.6979719
"67",57510486.6534837
"68",55316596.8013085
"69",52138184.9646624
"70",53444751.2133285
"71",53793407.5673317
"72",56699587.5790559
"73",55289104.1669325
"74",54728809.0286006
"75",54192953.5396784
"76",54455676.5510601
"77",53334475.6314668
"78",52343589.8205035
"79",55222613.2244699
"80",54431743.8113792
"81",55032067.4473205
"82",55538953.616564
"83",55116086.0711208
"84",56531788.0043651
"85",54756754.3409994
"86",55123072.0457183
"87",54436299.59738
"88",54919577.819923
"89",55890667.7835478
"90",51748608.6648306
"91",55031645.8737157
"92",55169814.2342
"93",55073959.2001238
"94",53203382.9461953
"95",54504628.639917
"96",52661525.1626358
"97",55744038.2595267
"98",54534768.8246162
"99",53424823.8844039
"100",56074770.0692884
"101",56746176.3103528
"102",54450693.1090824
"103",53369353.3106234
"104",55217374.702907
"105",54399891.2260182
"106",52458989.8850985
"107",52674624.7293501
"108",52828645.8936109
"109",57414712.8939826
"110",51460286.1138628
"111",52118270.2811097
"112",52208080.2284886
"113",52242557.7214901
"114",54736980.234781
"115",55682419.2525111
"116",53994234.4559781
"117",56368640.4225692
"118",53027717.669614
"119",58179347.8253447
"120",53679902.0202007
"121",54830501.954429
"122",55892033.6569137
"123",56127128.6712888
"124",53670413.7590077
"125",54604068.1538687
"126",54578891.1597816
"127",57646953.0030929
"128",51464943.4784231
"129",52244693.0416105
"130",54470841.4204037
"131",49210268.0915421
"132",53221348.5912471
"133",53393690.8769349
"134",55425909.0375408
"135",55192285.9715374
"136",50996310.1783232
"137",51337457.300728
"138",53475882.8899286
"139",52591633.5640501
"140",57034986.1723477
"141",54241850.9876916
"142",54843531.9602337
"143",54047932.4420881
"144",55415078.7107154
"145",58215740.0218445
"146",52516700.9434818
"147",56561439.0409169
"148",54256525.3260649
"149",54352297.124116
"150",54041302.8167508
"151",53916752.0397467
"152",51502196.3857563
"153",52504741.9812288
"154",55220238.013992
"155",53676665.6121458
"156",54625649.6424813
"157",52578019.9024355
"158",50923161.3711904
"159",53397171.9249038
"160",54991851.5415548
"161",54675264.0076954
"162",56087197.9114447
"163",52453122.2484017
"164",53325643.9607039
"165",55023148.4431498
"166",53451077.5197969
