"","x"
"1",91315707.5556253
"2",95190162.9987309
"3",92555292.2085545
"4",97634520.1085085
"5",97151230.3002237
"6",91244976.3359935
"7",96985120.3624128
"8",91028196.30643
"9",97480769.393876
"10",95903340.9496991
"11",90520550.6232621
"12",94362203.7873901
"13",95815028.4089618
"14",93389558.2540185
"15",91062578.3737866
"16",96625979.8748559
"17",96516819.4904798
"18",89312583.7834962
"19",91293604.5257017
"20",93749970.4005149
"21",90532918.4134398
"22",93144988.4536219
"23",95893777.1114043
"24",96052470.5194931
"25",91374901.7177721
"26",95046351.0951036
"27",89321529.726658
"28",90750077.0793417
"29",92395612.2034865
"30",92715155.6520556
"31",89635708.5531908
"32",95501572.6354663
"33",91405034.7805601
"34",92285128.8168645
"35",92170343.0333379
"36",92151402.6722745
"37",92532140.7839747
"38",93599970.5675488
"39",100237938.906676
"40",90511111.7549741
"41",98507249.3959756
"42",96112147.8055045
"43",93243243.2584966
"44",92064387.4463847
"45",94030132.7052133
"46",94366048.4493758
"47",95592030.788149
"48",94158327.5506251
"49",96976371.73059
"50",93565088.5516504
"51",93776729.1413899
"52",93612615.1209848
"53",88923474.6344129
"54",91728189.9944706
"55",97256170.9988721
"56",91627558.4711994
"57",96756953.1613659
"58",96924999.799695
"59",91452522.7585792
"60",95611742.1060716
"61",93708018.7532963
"62",96608845.396728
"63",93008623.4442342
"64",93901094.6374238
"65",94831435.9717807
"66",97936187.1446105
"67",96069862.392565
"68",93360998.6528174
"69",94806275.6110815
"70",91777762.3709764
"71",91277060.561907
"72",97355350.6107517
"73",91472939.3219794
"74",96805402.4766129
"75",95121639.2505932
"76",96486120.8694065
"77",93770748.2384241
"78",94978042.349179
"79",92417462.0882754
"80",95205059.837666
"81",93411001.1819288
"82",91374930.484254
"83",90993035.932636
"84",93038211.4369406
"85",87923113.8318399
"86",89760900.2880812
"87",96262722.3985404
"88",95921062.3263794
"89",97679917.8483531
"90",94431394.3220857
"91",94558242.1090586
"92",87989260.4538582
"93",95186762.4160325
"94",92065947.3363097
"95",94804887.1912374
"96",97423500.0744809
"97",89845807.568197
"98",94167891.3081772
"99",97988364.0342438
"100",94569248.1522019
