"","x"
"1",59352745.7426558
"2",59669909.5721919
"3",60335467.6734866
"4",61208567.7133818
"5",61060343.6302717
"6",61217685.5597053
"7",60448735.0304087
"8",60517788.6674859
"9",60624044.8562198
"10",61757186.1248302
"11",61777799.2147227
"12",60341287.23925
"13",61575643.818575
"14",59791392.4023686
"15",59351303.7393606
"16",60755896.5142008
"17",59099529.6410341
"18",59382094.9320637
"19",59505419.6912729
"20",60444509.6841216
"21",60355435.8036463
"22",60329666.1262981
"23",59546769.9687793
"24",60606912.2553077
"25",60272626.4578819
"26",60187348.199414
"27",58700913.3527206
"28",59728637.5307836
"29",60922459.4534549
"30",61232154.9156494
"31",60544090.8232975
"32",60572542.7399165
"33",60038991.1034246
"34",60932185.94796
"35",59977506.6031602
"36",60831836.820392
"37",61007299.1729395
"38",61278824.5308131
"39",59953441.6734942
"40",60282107.9929359
"41",60023092.439331
"42",60759836.8052257
"43",59971451.6564916
"44",59013016.6172184
"45",59871288.42238
"46",60620494.1237226
"47",60062214.0754161
"48",59998037.6058476
"49",60137564.8586155
"50",60623778.8714696
"51",60175465.8246212
"52",61816357.4803976
"53",60493162.8535417
"54",60496065.4127464
"55",61907956.8126202
"56",61540662.9666716
"57",59895227.7878181
"58",62227601.8593972
"59",59499839.9881583
"60",59920759.4933903
"61",61165249.999643
"62",59728991.0464993
"63",61127792.2079608
"64",59091902.2820027
"65",61289911.9187403
"66",60391661.7350028
"67",60512314.7111878
"68",60918168.1558067
"69",59561226.5102233
"70",60438068.6990729
"71",60308736.8736976
"72",59907571.7870695
"73",61975642.0300048
"74",60595372.5518837
"75",62017267.8903752
"76",60701319.300171
"77",60630879.95314
"78",60304666.3078997
"79",60621826.0387487
"80",60549813.4115331
"81",60658979.9329935
"82",59408264.786535
"83",60233406.536269
"84",60910518.107592
"85",60972456.2597894
"86",61011832.6206369
"87",58932836.7930704
"88",61484440.4692723
"89",60963555.913946
"90",59861329.63956
"91",59116548.1296143
"92",60680620.2863896
"93",61031023.4536145
"94",58599829.8364491
"95",59930383.8425202
"96",57750162.0255493
"97",59522471.1681911
"98",59826693.7099796
"99",61463874.8382738
"100",59587847.620859
"101",59170600.588559
"102",59778751.5809257
"103",59294369.7992552
"104",60127215.8611176
"105",60331451.4201389
"106",60080143.4044924
"107",59333855.8311751
"108",61179139.8865372
"109",61213999.8726335
"110",59817616.8945732
"111",60008621.3711535
"112",58240702.5952409
"113",59899713.3415232
"114",59745727.7490017
"115",60116033.1686622
"116",57919414.6874571
"117",60009101.4129735
"118",60979162.7912983
"119",61574956.2693218
"120",61613659.0099758
"121",61449783.6978577
"122",59535731.8145016
"123",60052005.2564828
"124",60081753.6131143
"125",59731843.8062766
"126",57850391.4950779
"127",61653052.2633699
"128",61292040.3562342
"129",59972725.1522971
"130",59365097.6909193
"131",58740828.7535462
"132",60256997.6743071
"133",60124018.1853744
"134",61564484.4449307
"135",61686479.5839619
"136",59253618.7461139
"137",60008262.5971222
"138",59863907.1775489
"139",60917487.1093168
"140",60551746.891712
"141",60366231.1780661
"142",60721028.9349917
"143",60741408.2469258
"144",60429895.4553265
"145",59852255.0268544
"146",60368151.6431854
"147",60818103.3701716
"148",60562026.7718927
"149",59968903.3624697
"150",60375468.7522138
"151",61123413.0098837
"152",60533131.3814409
"153",59947421.2663683
"154",59572583.420606
"155",59622306.0418427
"156",61460812.7781992
"157",58827009.8431489
"158",59475584.9438464
"159",60665024.6974858
"160",60750246.9410397
"161",59367973.2411081
"162",58578926.457507
"163",59193843.0007846
"164",59700167.3007314
"165",59758868.4802024
"166",60012935.2900329
"167",60665306.9762741
"168",61054427.6931737
"169",60210099.2802525
"170",59766498.1529751
"171",59917029.77297
"172",60210930.8714945
"173",60587274.0938741
"174",60822620.2740993
"175",59841623.4431958
"176",61994391.6820625
"177",58905835.075154
"178",59836211.8462664
"179",60707467.7455921
"180",61500953.3366007
"181",60132382.7780263
"182",60409622.2877253
"183",60219709.8188642
"184",60351989.7755451
"185",58385033.961091
"186",60927981.0983914
"187",58667258.9669018
"188",59739660.1904326
"189",60906939.1987584
"190",60246029.2896218
"191",58617067.3628717
"192",60343967.7187624
"193",61274577.4745064
"194",58636234.0269744
"195",61010070.0467962
"196",60449200.9632218
"197",58024584.4276496
"198",59377611.404036
"199",59202279.142236
"200",59812555.7697187
"201",59109075.2340797
"202",61233797.0168826
"203",59589408.5349135
"204",60073070.0641983
"205",61687787.9153975
"206",59217210.7878512
"207",60937672.1566303
"208",60760104.8776535
