"","x"
"1",100142775.313971
"2",101641668.284155
"3",104592895.26787
"4",102940769.202548
"5",102919696.677461
"6",103087464.842624
"7",104300536.146605
"8",101296706.059517
"9",104737052.626049
"10",102455595.021575
"11",104052281.312504
"12",102504254.709601
"13",101989356.863049
"14",104070360.139895
"15",104174614.400573
"16",104168363.392999
"17",102499577.224544
"18",103660461.638907
"19",104062925.711708
"20",103174618.077456
"21",104256002.249242
"22",103368484.319583
"23",104189698.346148
"24",102316123.630427
"25",101797894.64815
"26",101819445.714775
"27",100495291.875657
"28",101821896.886038
"29",104361635.142338
"30",103744948.610856
"31",102026226.052282
"32",104292735.71095
"33",102162640.44881
"34",103049146.035936
"35",103906761.178127
"36",102311508.862241
"37",101208659.924295
"38",102444028.120432
"39",103164637.80571
"40",104084103.224269
"41",103385849.384424
"42",104713800.563638
"43",105008586.068113
"44",104394356.579094
"45",103995520.900508
"46",102897375.057271
"47",103808005.583603
"48",105611556.036265
"49",104274285.0188
"50",102565873.49595
"51",105477284.182329
"52",102422988.366726
"53",105432304.079675
"54",104279019.09791
"55",102338259.864806
"56",102863991.122338
"57",104855758.87425
"58",101871470.462926
"59",102601561.18978
"60",102134853.115749
"61",104685712.415188
"62",102818737.762557
"63",104149720.801508
"64",103344634.469422
"65",100918087.435522
"66",102522709.462215
"67",105736280.651451
"68",104858620.398537
"69",105218830.805266
"70",104989341.74609
"71",104138644.020806
"72",102381644.887635
"73",103094560.377718
"74",105558849.588622
"75",105070294.305761
"76",101020484.821737
"77",102735550.204489
"78",103462521.611655
"79",105559838.994282
"80",107154406.508252
"81",103534991.949918
"82",102416284.214683
"83",102283619.756649
"84",102728710.882718
"85",101724396.256774
"86",103255245.316853
"87",102334760.907771
"88",103279651.665228
"89",104820357.711284
"90",101193315.60711
"91",102346015.079718
"92",105292233.204668
"93",104031105.383002
"94",104115219.321756
"95",105026263.946626
"96",104133548.019221
"97",104431955.614653
"98",102790630.311139
"99",103161594.962441
