"","id","Q  Factor 1","Q Factor 2","Q Factor 3","Home Value","Loan Amount","Annual Income","Interest Rate (p.a.)","Term (months)","revenue","predict"
"1",1,"OLDER SINGLES","MAINSTREAM","SELF EMPLOYED",822360.929271737,577108.23846552,126171.391278982,0.0433277504406869,35,14427.705961638,"DEFAULT"
"2",2,"YOUNG SINGLES","MAINSTREAM","MANAGERIAL & EXECS",973746.424269701,746721.244987099,95361.0111412778,0.0413984903544188,15,18668.0311246775,"DEFAULT"
"3",3,"OLDER SINGLES","MAINSTREAM","SELF EMPLOYED",594456.941896547,417026.228181741,201874.373736091,0.0486219358481467,20,10425.6557045435,"None"
"4",4,"YOUNG COUPLES","PRIME","TRADES & SERVICES",747289.616068111,621044.446562387,140796.648873575,0.0373597870841622,30,15526.1111640597,"None"
"5",5,"YOUNG SINGLES","ECONOMICAL","TRADES & SERVICES",409217.671114558,319880.63698795,223696.649789356,0.0404690406061709,15,7997.01592469876,"REFINANCE"
"6",6,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",604218.904055783,443191.085035602,233825.344206385,0.0458054669722915,40,11079.7771258901,"REFINANCE"
"7",7,"YOUNG FAMILIES","MAINSTREAM","SELF EMPLOYED",1938827.79088204,1500785.84018931,270723.533325307,0.0381203184574842,25,37519.6460047327,"REFINANCE"
"8",8,"OLDER SINGLES","PRIME","PROFESSIONALS",1491035.31629021,1166095.21417643,117894.656175442,0.0400113678611815,15,29152.3803544108,"DEFAULT"
"9",9,"OLDER FAMILIES","ECONOMICAL","SELF EMPLOYED",1750080.88823608,1403254.88451663,129670.364921369,0.0369648746587336,10,35081.3721129156,"DEFAULT"
"10",10,"OLDER FAMILIES","ECONOMICAL","TRADES & SERVICES",183724.966597005,165154.771530264,72898.07448145,0.0479980965703726,10,4128.8692882566,"DEFAULT"
"11",11,"YOUNG COUPLES","MAINSTREAM","MANAGERIAL & EXECS",1780376.89070413,1323836.29932351,111343.032371886,0.0374202743694186,35,33095.9074830878,"DEFAULT"
"12",12,"OLDER FAMILIES","PRIME","PROFESSIONALS",1558393.03364681,1242016.42750321,134892.693552002,0.0384732232280076,35,31050.4106875803,"DEFAULT"
"13",13,"OLDER FAMILIES","MAINSTREAM","MANAGERIAL & EXECS",212652.613355987,168530.348849236,242880.153505489,0.0450120973922312,10,4213.2587212309,"None"
"14",14,"OLDER SINGLES","PRIME","SELF EMPLOYED",535121.462547836,470338.692879695,64127.4747169539,0.035167044069618,40,11758.4673219924,"DEFAULT"
"15",15,"OLDER SINGLES","PRIME","PROFESSIONALS",652703.945686151,469660.488918594,237113.042869344,0.0464861607961357,25,11741.5122229649,"None"
