Date,Loans (excl. refinancing),Refinancing,Total Loans,Cash Rate,Inflation,Unemployment,Housing Approvals
1/08/2023,30718000,29395000,60113000,4.1,6,3.7,6.000484
1/07/2023,27664000,29334000,56998000,4.1,7,3.7,0.303361
1/06/2023,31858000,30253000,62111000,4.1,7,3.5,-0.145402
1/05/2023,33537000,30815000,64352000,3.85,7,3.5,0.634069
1/04/2023,25775000,22323000,48098000,3.6,7.8,3.8,-2.95823
1/03/2023,31478000,29244000,60722000,3.6,7.8,3.8,-2.873233
1/02/2023,24612000,23738000,48350000,3.35,7.8,3.9,10.798421
1/01/2023,23027000,20318000,43345000,3.1,7.3,4,-12.217751
1/12/2022,30511000,25026000,55537000,3.1,7.3,3.4,-2.272231
1/11/2022,32961000,27502000,60463000,2.85,7.3,3.2,-2.315655
1/10/2022,31725000,24072000,55797000,2.6,6.1,3.3,-1.503048
1/09/2022,31415000,24771000,56186000,2.35,6.1,3.5,-7.162373
1/08/2022,35441000,27667000,63108000,1.85,6.1,3.5,3.296039
1/07/2022,33679000,24364000,58043000,1.35,5.1,3.4,0.720812
1/06/2022,38438000,26921000,65359000,0.85,5.1,3.5,0.97386
1/05/2022,39752000,24697000,64449000,0.35,5.1,3.8,-1.195179
1/04/2022,33473000,19684000,53157000,0.1,3.5,3.9,0.162321
1/03/2022,41213000,22596000,63809000,0.1,3.5,4.2,-1.024199
1/02/2022,33584000,17835000,51419000,0.1,3.5,4.4,13.286316
1/01/2022,33255000,15294000,48549000,0.1,3,4.5,-13.320844
1/12/2021,44656000,22023000,66679000,0.1,3,4,-3.464687
1/11/2021,44368000,22435000,66803000,0.1,3,4.3,-0.237394
1/10/2021,38101000,20739000,58840000,0.1,3.8,5,0.209344
1/09/2021,39593000,21671000,61264000,0.1,3.8,4.5,-13.112857
1/08/2021,41375000,23642000,65017000,0.1,3.8,4.6,-0.362468
1/07/2021,43330000,23383000,66713000,0.1,1.1,4.6,-4.477495
1/06/2021,46149000,22828000,68977000,0.1,1.1,4.8,-8.152645
1/05/2021,44964000,20410000,65374000,0.1,1.1,5,0.941125
1/04/2021,42746000,17311000,60057000,0.1,0.9,5.5,-4.990643
1/03/2021,48064000,19929000,67993000,0.1,0.9,6,2.29013
1/02/2021,39632000,16280000,55912000,0.1,0.9,6.3,13.898087
1/01/2021,37983000,13505000,51488000,0.1,0.7,6.8,-8.083432
1/12/2020,46921000,15835000,62756000,0.1,0.7,6.3,15.550219
1/11/2020,42576000,14178000,56754000,0.1,0.7,6.4,2.641078
1/10/2020,40328000,16225000,56553000,0.25,-0.3,6.6,5.635636
1/09/2020,39521000,17736000,57257000,0.25,-0.3,6.7,11.107667
1/08/2020,35438000,15534000,50972000,0.25,-0.3,6.8,2.629905
1/07/2020,33817000,15900000,49717000,0.25,2.2,7.4,10.202173
1/06/2020,30170000,21133000,51303000,0.25,2.2,7.2,-4.96446
1/05/2020,26072000,20095000,46167000,0.25,2.2,6.9,0.446229
1/04/2020,26813000,15099000,41912000,0.25,1.8,6.4,3.129314
1/03/2020,30657000,15147000,45804000,0.25,1.8,5.6,-0.401054
1/02/2020,26733000,13541000,40274000,0.75,1.8,5.5,-0.183004
1/01/2020,27384000,13158000,40542000,0.75,1.7,5.7,-0.285128
1/12/2019,33625000,14781000,48406000,0.75,1.7,4.9,2.40598
1/11/2019,33335000,14455000,47790000,0.75,1.7,4.8,2.711133
1/10/2019,31946000,14487000,46433000,0.75,1.6,5.1,-5.369508
1/09/2019,28652000,13911000,42563000,1,1.6,5.1,2.48982
1/08/2019,29907000,13820000,43727000,1,1.6,5.3,-1.849949
1/07/2019,30458000,13744000,44202000,1,1.3,5.2,-2.624263
1/06/2019,23842000,11665000,35507000,1.25,1.3,5.1,1.056298
1/05/2019,26773000,13974000,40747000,1.5,1.3,5.1,2.985765
1/04/2019,23156000,11998000,35154000,1.5,1.9,5.3,0.278519
1/03/2019,24636000,12778000,37414000,1.5,1.9,5.4,-4.095715
1/02/2019,23035000,12069000,35104000,1.5,1.9,5.4,-4.829997
1/01/2019,21644000,10764000,32408000,1.5,1.8,5.5,3.270619
1/12/2018,25712000,12850000,38562000,1.5,1.8,4.8,-3.330866
1/11/2018,31067000,14945000,46012000,1.5,1.8,4.8,-6.245663
