,Total (seasadj) ($b),Owner occupier (seasadj) ($b),Investor (seasadj) ($b),Total (trend) ($b),Owner occupier (trend) ($b),Investor (trend) ($b)
Aug-05,12.895,8.306,4.589,13.153,8.362,4.791
Sep-05,13.529,8.644,4.886,13.413,8.519,4.894
Oct-05,14.039,8.717,5.322,13.692,8.672,5.02
Nov-05,14.058,8.851,5.207,13.93,8.805,5.125
Dec-05,14.037,8.88,5.157,14.122,8.925,5.197
Jan-06,14.257,8.956,5.301,14.292,9.04,5.252
Feb-06,14.431,9.179,5.252,14.463,9.16,5.302
Mar-06,14.542,9.271,5.271,14.664,9.295,5.369
Apr-06,14.777,9.444,5.333,14.872,9.422,5.45
May-06,15.22,9.507,5.713,15.025,9.51,5.516
Jun-06,15.495,9.516,5.979,15.062,9.535,5.527
Jul-06,15.282,9.789,5.493,14.965,9.498,5.467
Aug-06,15.004,9.494,5.51,14.771,9.422,5.349
Sep-06,14.162,9.17,4.992,14.557,9.343,5.213
Oct-06,14.333,9.277,5.057,14.416,9.298,5.118
Nov-06,14.206,9.233,4.974,14.42,9.315,5.104
Dec-06,14.587,9.401,5.186,14.601,9.411,5.19
Jan-07,14.955,9.577,5.378,14.949,9.587,5.361
Feb-07,15.401,9.767,5.634,15.423,9.823,5.6
Mar-07,15.917,10.08,5.837,15.951,10.085,5.866
Apr-07,16.312,10.271,6.041,16.465,10.35,6.115
May-07,17.113,10.693,6.42,16.904,10.594,6.31
Jun-07,18.25,11.342,6.907,17.218,10.789,6.43
Jul-07,17.416,10.784,6.632,17.388,10.914,6.474
Aug-07,17.432,11.053,6.379,17.413,10.956,6.458
Sep-07,16.759,10.45,6.31,17.33,10.922,6.408
Oct-07,16.873,10.769,6.104,17.162,10.82,6.342
Nov-07,16.994,10.659,6.335,16.911,10.648,6.263
Dec-07,16.544,10.359,6.185,16.544,10.395,6.149
Jan-08,16.879,10.786,6.093,16.028,10.052,5.975
Feb-08,15.686,9.91,5.776,15.376,9.641,5.736
Mar-08,14.559,9.145,5.414,14.647,9.198,5.449
Apr-08,13.871,8.705,5.166,13.932,8.769,5.163
May-08,12.992,8.196,4.796,13.337,8.407,4.93
Jun-08,12.943,8.196,4.746,12.935,8.162,4.773
Jul-08,12.783,8.135,4.648,12.737,8.053,4.685
Aug-08,12.622,7.963,4.659,12.732,8.087,4.645
Sep-08,12.976,8.246,4.729,12.884,8.259,4.625
Oct-08,13.395,8.56,4.835,13.167,8.562,4.605
Nov-08,13.045,8.552,4.493,13.586,9.002,4.585
Dec-08,13.919,9.371,4.548,14.131,9.555,4.576
Jan-09,14.882,10.223,4.659,14.771,10.173,4.598
Feb-09,15.364,10.782,4.582,15.438,10.78,4.658
Mar-09,16.71,11.97,4.74,16.056,11.292,4.764
Apr-09,17.027,11.927,5.1,16.568,11.658,4.91
May-09,16.858,11.832,5.025,16.946,11.867,5.079
Jun-09,17.2,11.967,5.233,17.203,11.943,5.26
Jul-09,17.218,11.771,5.447,17.365,11.921,5.444
Aug-09,17.326,11.627,5.699,17.434,11.824,5.609
Sep-09,17.891,12.186,5.705,17.387,11.648,5.739
Oct-09,17.61,11.801,5.809,17.218,11.389,5.829
Nov-09,17.072,11.087,5.985,16.92,11.043,5.877
Dec-09,16.485,10.601,5.884,16.536,10.641,5.894
Jan-10,15.943,10.112,5.831,16.138,10.234,5.904
Feb-10,15.667,9.794,5.873,15.79,9.873,5.918
Mar-10,15.554,9.605,5.95,15.536,9.6,5.936
Apr-10,15.264,9.358,5.907,15.365,9.421,5.944
May-10,15.416,9.435,5.981,15.241,9.314,5.927
Jun-10,15.118,9.128,5.99,15.122,9.248,5.874
Jul-10,15.038,9.287,5.751,14.996,9.211,5.786
Aug-10,14.617,9.227,5.389,14.869,9.194,5.674
Sep-10,14.627,9.148,5.479,14.751,9.193,5.559
Oct-10,14.657,9.16,5.496,14.638,9.187,5.451
Nov-10,14.709,9.325,5.384,14.521,9.165,5.356
Dec-10,15.02,9.439,5.581,14.396,9.123,5.273
Jan-11,14.156,9.014,5.142,14.266,9.066,5.2
Feb-11,14.063,8.873,5.19,14.149,9.013,5.137
Mar-11,13.627,8.83,4.798,14.066,8.976,5.09
Apr-11,13.998,9.002,4.997,14.031,8.966,5.065
May-11,14.233,9.086,5.147,14.037,8.977,5.061
Jun-11,14.135,9.094,5.04,14.054,8.99,5.064
Jul-11,14.084,9.034,5.049,14.059,8.991,5.068
Aug-11,14.171,9.042,5.129,14.053,8.976,5.076
Sep-11,13.933,8.795,5.138,14.058,8.961,5.097
Oct-11,13.863,8.862,5,14.086,8.953,5.134
Nov-11,14.05,8.967,5.083,14.138,8.949,5.189
Dec-11,14.716,9.392,5.324,14.198,8.942,5.256
Jan-12,14.768,9.394,5.374,14.252,8.934,5.318
Feb-12,14.083,8.682,5.401,14.3,8.928,5.372
Mar-12,14.092,8.703,5.389,14.346,8.938,5.408
Apr-12,14.346,8.924,5.422,14.408,8.981,5.427
May-12,14.505,9.109,5.396,14.502,9.066,5.435
Jun-12,14.736,9.248,5.487,14.622,9.177,5.445
Jul-12,14.774,9.277,5.496,14.743,9.281,5.462
Aug-12,14.867,9.435,5.432,14.848,9.358,5.49
