"","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Date","IFNULLSign","Table.Name","ValueNumberSigns","DateAdd","Raw.Value","ScaledValue","Suffix","Value"
"1","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/07/2002","","owner_occupier_1","","1/08/1997",33134,33.134,"k",33134
"2","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/08/2002","","owner_occupier_1","","1/09/1997",30881,30.881,"k",30881
"3","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/09/2002","","owner_occupier_1","","1/10/1997",29019,29.019,"k",29019
"4","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/10/2002","","owner_occupier_1","","1/11/1997",31550,31.55,"k",31550
"5","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/11/2002","","owner_occupier_1","","1/12/1997",30628,30.628,"k",30628
"6","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/12/2002","","owner_occupier_1","","1/01/1998",29534,29.534,"k",29534
"7","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/01/2003","","owner_occupier_1","","1/02/1998",27636,27.636,"k",27636
"8","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/02/2003","","owner_occupier_1","","1/03/1998",29412,29.412,"k",29412
"9","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/03/2003","","owner_occupier_1","","1/04/1998",32006,32.006,"k",32006
"10","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/04/2003","","owner_occupier_1","","1/05/1998",30704,30.704,"k",30704
"11","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/05/2003","","owner_occupier_1","","1/06/1998",34717,34.717,"k",34717
"12","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/06/2003","","owner_occupier_1","","1/07/1998",32550,32.55,"k",32550
"13","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/07/2003","","owner_occupier_1","","1/08/1998",35587,35.587,"k",35587
"14","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/08/2003","","owner_occupier_1","","1/09/1998",32697,32.697,"k",32697
"15","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/09/2003","","owner_occupier_1","","1/10/1998",33656,33.656,"k",33656
"16","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/10/2003","","owner_occupier_1","","1/11/1998",34940,34.94,"k",34940
"17","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/11/2003","","owner_occupier_1","","1/12/1998",31187,31.187,"k",31187
"18","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/12/2003","","owner_occupier_1","","1/01/1999",30883,30.883,"k",30883
"19","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/01/2004","","owner_occupier_1","","1/02/1999",23026,23.026,"k",23026
"20","Housing Finance","Owner occupier","New loan commitments","Total housing excluding refinancing","Number","1/02/2004","","owner_occupier_1","","1/03/1999",25502,25.502,"k",25502
