"","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Date","IFNULLSign","Table.Name","ValueNumberSigns","DateAdd","Raw.Value","ScaledValue","Suffix","Value"
"1","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/07/2002","","owner_occupier_1","","1/08/1997",12195,12.195,"k",12195
"2","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/08/2002","","owner_occupier_1","","1/09/1997",11228,11.228,"k",11228
"3","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/09/2002","","owner_occupier_1","","1/10/1997",10516,10.516,"k",10516
"4","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/10/2002","","owner_occupier_1","","1/11/1997",11781,11.781,"k",11781
"5","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/11/2002","","owner_occupier_1","","1/12/1997",11408,11.408,"k",11408
"6","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/12/2002","","owner_occupier_1","","1/01/1998",10938,10.938,"k",10938
"7","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/01/2003","","owner_occupier_1","","1/02/1998",9563,9.563,"k",9563
"8","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/02/2003","","owner_occupier_1","","1/03/1998",11099,11.099,"k",11099
"9","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/03/2003","","owner_occupier_1","","1/04/1998",12574,12.574,"k",12574
"10","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/04/2003","","owner_occupier_1","","1/05/1998",11755,11.755,"k",11755
"11","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/05/2003","","owner_occupier_1","","1/06/1998",13087,13.087,"k",13087
"12","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/06/2003","","owner_occupier_1","","1/07/1998",13256,13.256,"k",13256
"13","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/07/2003","","owner_occupier_1","","1/08/1998",14421,14.421,"k",14421
"14","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/08/2003","","owner_occupier_1","","1/09/1998",13778,13.778,"k",13778
"15","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/09/2003","","owner_occupier_1","","1/10/1998",14712,14.712,"k",14712
"16","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/10/2003","","owner_occupier_1","","1/11/1998",15301,15.301,"k",15301
"17","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/11/2003","","owner_occupier_1","","1/12/1998",14485,14.485,"k",14485
"18","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/12/2003","","owner_occupier_1","","1/01/1999",15150,15.15,"k",15150
"19","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/01/2004","","owner_occupier_1","","1/02/1999",11347,11.347,"k",11347
"20","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/02/2004","","owner_occupier_1","","1/03/1999",12095,12.095,"k",12095
"21","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/03/2004","","owner_occupier_1","","1/04/1999",14237,14.237,"k",14237
"22","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/04/2004","","owner_occupier_1","","1/05/1999",12049,12.049,"k",12049
"23","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/05/2004","","owner_occupier_1","","1/06/1999",12573,12.573,"k",12573
"24","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/06/2004","","owner_occupier_1","","1/07/1999",13183,13.183,"k",13183
"25","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/07/2004","","owner_occupier_1","","1/08/1999",12503,12.503,"k",12503
"26","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/08/2004","","owner_occupier_1","","1/09/1999",12520,12.52,"k",12520
"27","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/09/2004","","owner_occupier_1","","1/10/1999",12426,12.426,"k",12426
"28","Housing Finance","Owner occupier","New loan commitments","External refinancing","Number","1/10/2004","","owner_occupier_1","","1/11/1999",11562,11.562,"k",11562
